"ID";"EDU_NAME";"global_id";"YEAR";"AdmArea";"District";"PASSES_OVER_220";"PASSER_UNDER_160";
"10007";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1359 имени авиаконструктора М.Л. Миля»";"1011905343";"2018-2019";"Юго-Восточный административный округ";"район Выхино-Жулебино";"83";"141";
"10008";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1905»";"1011905344";"2018-2019";"Юго-Восточный административный округ";"район Выхино-Жулебино";"22";"49";
"10009";"Государственное бюджетное общеобразовательное учреждение города Москвы «Марьинская школа № 1566 памяти Героев Сталинградской битвы»";"1011905345";"2018-2019";"Юго-Восточный административный округ";"район Марьино";"51";"123";
"10010";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1280»";"1011905346";"2018-2019";"Юго-Западный административный округ";"Академический район";"24";"39";
"10011";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 45 имени Л.И. Мильграма»";"1011905347";"2018-2019";"Юго-Западный административный округ";"Академический район";"59";"114";
"10012";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»";"1011905348";"2018-2019";"Юго-Западный административный округ";"район Зюзино";"5";"13";
"10013";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2075»";"1011905349";"2018-2019";"Троицкий административный округ";"поселение Краснопахорское";"12";"49";
"10014";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253»";"1011905350";"2018-2019";"Центральный административный округ";"район Хамовники";"130";"164";
"10015";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1394 «На набережной»";"1011905351";"2018-2019";"Юго-Восточный административный округ";"район Марьино";"13";"44";
"10016";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 777 имени Героя Советского Союза Е.В. Михайлова»";"1011905352";"2018-2019";"Юго-Восточный административный округ";"Рязанский район";"11";"35";
"10017";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 49»";"1011905353";"2018-2019";"Юго-Западный административный округ";"район Коньково";"30";"80";
"10018";"Общеобразовательная автономная некоммерческая организация школа «Путь зерна»";"1011905354";"2018-2019";"Юго-Западный административный округ";"район Коньково";"2";"3";
"10019";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1034 имени Героя Советского Союза В.В. Маркина»";"1011905355";"2018-2019";"Южный административный округ";"район Братеево";"42";"100";
"10020";"Общеобразовательное частное учреждение средняя общеобразовательная школа «Классика»";"1011905356";"2018-2019";"Южный административный округ";"район Зябликово";"8";"11";
"10021";"Общеобразовательная автономная некоммерческая организация «Средняя школа «Центр Образования Столичный»";"1011905357";"2018-2019";"Южный административный округ";"район Чертаново Центральное";"8";"10";
"10022";"Общеобразовательное частное учреждение «Первая Московская гимназия»";"1011905358";"2018-2019";"Центральный административный округ";"район Арбат";"6";"7";
"10023";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Покровский квартал»";"1011905359";"2018-2019";"Центральный административный округ";"Басманный район";"153";"244";
"10024";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 518»";"1011905360";"2018-2019";"Центральный административный округ";"район Замоскворечье";"13";"35";
"10025";"Частное общеобразовательное учреждение – гимназия «Московская экономическая школа»";"1011905361";"2018-2019";"Центральный административный округ";"Пресненский район";"14";"23";
